CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,MBER_CO,FOND_DE
,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20211021
The 쎈,전라남도,전라남도 목포시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20210611
보디빌딩피지크,경상북도,경상북도 구미시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20211105
화순 MAX,전라남도,전라남도 화순군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,17,20220825
(Bbam)최만석스노우보드스쿨,강원도,강원도 홍천군,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20200106
(Dream of judo)영동유도관,충청북도,충청북도 영동군,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,3,20221229
(사)대한산악스키협회,서울특별시,서울특별시 송파구,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,3,20230103
(사)영일만공공스포츠클럽,경상북도,경상북도 포항시북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,4,20221108
(사)예산스포츠클럽,충청남도,충청남도 예산군,조정,공공스포츠클럽,"19세이하부,20세이상부",남성,19,20210708
(사)창원요트클럽,경상남도,경상남도 창원시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200616
(원주)음파음파,강원도,강원도 원주시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20230323
(주)알파카패밀리,인천광역시,인천광역시 서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220805
0.1 희망나눔홍보배구단,충청북도,충청북도 충주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200802
119테니스,대전광역시,대전광역시 서구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,11,20220613
1919,대구광역시,대구광역시 동구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210317
1rm(한국체육대학교 원알엠),서울특별시,서울특별시 송파구,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,3,20220729
1to3,서울특별시,서울특별시 강서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220629
2000클럽,제주특별자치도,제주특별자치도 제주시,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,7,20230322
2001,부산광역시,부산광역시 동래구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,8,20221128
2020 레드회,전라북도,전라북도 전주시완산구,골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,4,20221024
21C,인천광역시,인천광역시 서구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,4,20220421
26TTA(티티에이),전라북도,전라북도 군산시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20200813
2X,서울특별시,서울특별시 용산구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201124
2X,서울특별시,서울특별시 성동구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,6,20220628
