CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
The 쎈,전라남도,전라남도 목포시      ,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.7903335,126.3847547
화순 MAX,전라남도,전라남도 화순군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.0643095,126.9864311
(Dream of judo)영동유도관,충청북도,충청북도 영동군,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,36.1747588,127.7834432
(사)대한산악스키협회,서울특별시,서울특별시       송파구,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
(사)영일만공공스포츠클럽,경상북도,경상북도 포항시      북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.0434851,129.3686129
(사)창원요트클럽,경상남도,경상남도 창원시      ,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.227956,128.6818586
(원주)음파음파,강원도,강원도 원주시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3420996,127.9197603
(주)알파카패밀리,인천광역시,인천광역시       서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.545,126.676
0.1 희망나눔홍보배구단,충청북도,충청북도 충주시      ,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.9907334,127.9259891
119테니스,대전광역시,대전광역시       서구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.298311,127.3520156
1919,대구광역시,대구광역시       동구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8865,128.6355
1rm(한국체육대학교 원알엠),서울특별시,서울특별시       송파구,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
1to3,서울특별시,서울특별시       강서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5509,126.8497
2000클럽,제주특별자치도,제주특별자치도 제주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
2001,부산광역시,부산광역시       동래구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2052,129.0837
2020 레드회,전라북도,전라북도 전주시      완산구,골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8122,127.1197
21C,인천광역시,인천광역시       서구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.545,126.676
2X,서울특별시,서울특별시       용산구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5323,126.99
2X,서울특별시,서울특별시       성동구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5635,127.0365
2ndWind,서울특별시,서울특별시       강서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5509,126.8497
300,전라북도,전라북도 남원시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.4163118,127.3903713
36173,경기도,경기도 안양시      동안구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3923137,126.9513089
3POINT,강원도,강원도 원주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.3420996,127.9197603
4060,경기도,경기도 안산시      상록구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3007,126.8465
