,FCLTY_NM,INDUTY_NM,ROAD_NM_SIGNGU_NM,FCLTY_LA,FCLTY_LO
1,(자산경로당),간이운동장,김천시,36.1207711973501,128.122092372718
4,배구장,간이운동장,함양군,35.6486830087771,127.693185655291
6,축구장,간이운동장,함양군,35.6486830087771,127.693185655291
7,개나리 공원 야외운동기구,간이운동장,문경시,36.58696964945767,128.1879630940155
9,산청군 산청읍 모고리 (모고마을) 운동기구,간이운동장,산청군,35.4307559171,127.8885301978
10,산청군 산청읍 범학리 (범학마을) 운동기구,간이운동장,산청군,35.3891397079,127.913929351
11,산청군 산청읍 산청리 (청호마을)운동기구,간이운동장,산청군,35.4168467808,127.8777549922
12,차탄리 노인회관 뒤,간이운동장,연천군,38.0994042341,127.0768134756
13,어룡동 소촌마을 동네체육시설,간이운동장,광산구,35.1454398846,126.794461355
15,국당마을 소공원,간이운동장,경주시,35.8270459600073,129.210528481299
16,장미공원 야외운동기구,간이운동장,문경시,36.58543956870063,128.1892312900023
17,제일공원 야외운동기구,간이운동장,문경시,36.5860016248912,128.18382300404443
18,수철마을(마을회관 옆) 운동기구,간이운동장,산청군,35.4046813932,127.8263680067
20,수도사업소 입구,간이운동장,안동시,36.55215363,128.7675695627
21,상광소공원 체육시설,간이운동장,광양시,34.9648373195,127.718320522
22,아침도시공원 야외운동기구,간이운동장,문경시,36.59677931493036,128.18882421260233
23,(구)군수관사 옆 옥천여중 후문 맞은편,간이운동장,옥천군,36.3048227875,127.5731592175
24,(구)다례마을 체육시설,간이운동장,밀양시,35.4887916178817,128.597822184897
25,(구)모로마을 체육시설,간이운동장,밀양시,35.4623945561651,128.645563947662
26,(구)태화사옆 체육시설,간이운동장,통영시,34.847189,128.415137
29,(구)생연배수지 동네체육시설,간이운동장,동두천시,37.905857385,127.0620390356
30,(구)공무원교육원,간이운동장,경주시,35.799514,129.498385
32,(구)야수교내야구장,야구장,홍천군,37.72814156381802,127.93165922497644
34,(미상-체육) 명곡마을 야외운동시설,간이운동장,양산시,35.3458112413722,129.075439734744
35,(미상-체육) 중리마을 동네체육시설,간이운동장,양산시,35.3813013385589,129.027341702387
36,(미정-물금) 가촌마을 동네체육시설,간이운동장,양산시,35.3202864917861,128.991801262514
37,(미상-체육) 서북안마을 야외운동시설,간이운동장,양산시,35.3491558428017,129.035155955408
39,(평창)청성골프타운(임대),골프연습장,평창군,37.3773626268,128.385555158
41,(염치읍) 강청리 야외운동기구,간이운동장,아산시,36.8256249203135,126.936447345685
42,(염치읍) 대동리 야외운동기구,간이운동장,아산시,36.8126058220695,127.042163794079
43,(염치읍) 동정리 야외운동기구,간이운동장,아산시,36.8309744196612,126.992376046685
45,(취약시설)아산시민체육관,체육관,아산시,36.7791588628827,126.984900822104
46,(취약시설)창녕군민체육관,체육관,창녕군,35.5197087113,128.506455973
47,(취약시설)서구국민체육센터,체육관,서구,35.1300457434797,126.88098419785
